"id","sourceRoutes","global","label","kind","destination","handler","disabled","file","line","evidence"
"C0081","/cutting-inventory","false","Print all labels","local state / inspect handler","","{() => printGroupLabels(group)}","","frontend/src/app/(app)/cutting-inventory/page.tsx","301","static source; conditional visibility and dynamic data require runtime QA"
"C0082","/cutting-inventory","false","row.bundle_no","open page/link","`/bundles/${row.id}`","","","frontend/src/app/(app)/cutting-inventory/page.tsx","309","static source; conditional visibility and dynamic data require runtime QA"
"C0083","/cutting-inventory","false","Label","local state / inspect handler","","{() => api.openLabel(`/api/bundles/${row.id}/label`)}","","frontend/src/app/(app)/cutting-inventory/page.tsx","333","static source; conditional visibility and dynamic data require runtime QA"
"C0084","/cutting-passports","false","New passport","open/close dialog","","{openCreate}","","frontend/src/app/(app)/cutting-passports/page.tsx","599","static source; conditional visibility and dynamic data require runtime QA"
"C0085","/cutting-passports","false","Add batch","open/close dialog","","{() => openNewBatch(p)}","","frontend/src/app/(app)/cutting-passports/page.tsx","731","static source; conditional visibility and dynamic data require runtime QA"
"C0086","/cutting-passports","false","{() => openEdit(passports.find((item) => item.id === p.id) || p)}","open/close dialog","","{() => openEdit(passports.find((item) => item.id === p.id) || p)}","","frontend/src/app/(app)/cutting-passports/page.tsx","732","static source; conditional visibility and dynamic data require runtime QA"
"C0087","/cutting-passports","false","{() => del(p)}","local state / inspect handler","","{() => del(p)}","","frontend/src/app/(app)/cutting-passports/page.tsx","735","static source; conditional visibility and dynamic data require runtime QA"
"C0088","/cutting-passports","false","Form submission","save/change data","","{save}","","frontend/src/app/(app)/cutting-passports/page.tsx","755","static source; conditional visibility and dynamic data require runtime QA"
"C0089","/cutting-passports","false","Load Excel example (passport 6770)","open/close dialog","","{() => { orderRequest.current += 1; resetMaterialPicker(); setMaterialForms([]); setForm({ ...EXCEL_EXAMPLE }); }}","","frontend/src/app/(app)/cutting-passports/page.tsx","762","static source; conditional visibility and dynamic data require runtime QA"
"C0090","/cutting-passports","false","Add material","open/close dialog","","{openMaterialPicker}","saving || materialPickerBusy","frontend/src/app/(app)/cutting-passports/page.tsx","831","static source; conditional visibility and dynamic data require runtime QA"
"C0091","/cutting-passports","false","Add material","open/close dialog","","{addMaterial}","","frontend/src/app/(app)/cutting-passports/page.tsx","845","static source; conditional visibility and dynamic data require runtime QA"
"C0092","/cutting-passports","false","Cancel","open/close dialog","","{() => setMaterialPickerOpen(false)}","","frontend/src/app/(app)/cutting-passports/page.tsx","845","static source; conditional visibility and dynamic data require runtime QA"
"C0093","/cutting-passports","false","Remove","local state / inspect handler","","{() => { setMaterialForms((rows) => rows.filter((row) => row.stock_batch_id !== material.stock_batch_id)); setAdditionalMaterials((rows) => rows.filter((row) => row.stock_batch_id !== material.stock_batch_id)); }}","","frontend/src/app/(app)/cutting-passports/page.tsx","859","static source; conditional visibility and dynamic data require runtime QA"
"C0094","/cutting-passports","false","Cancel","local state / inspect handler","","{() => setShowForm(false)}","","frontend/src/app/(app)/cutting-passports/page.tsx","978","static source; conditional visibility and dynamic data require runtime QA"
"C0095","/cutting-passports","false","Save / Create","submit form","","","saving || materialPickerBusy","frontend/src/app/(app)/cutting-passports/page.tsx","979","static source; conditional visibility and dynamic data require runtime QA"
"C0096","/departments/[code]","false","Icon control at line 41","open new tab","imagePreviewHref(imageUrl, label)","","","frontend/src/app/(app)/departments/[code]/page.tsx","41","static source; conditional visibility and dynamic data require runtime QA"
"C0097","/departments/[code]","false","r.production_no || ""-""","open page/link","`/production-orders/${r.production_order_id}`","","","frontend/src/app/(app)/departments/[code]/page.tsx","308","static source; conditional visibility and dynamic data require runtime QA"
"C0098","/departments/[code]","false","Close / Open","filter/select/expand","","{() => setExpandedPackageGroups((prev) => ({ ...prev, [g.key]: !prev[g.key] }))}","","frontend/src/app/(app)/departments/[code]/page.tsx","337","static source; conditional visibility and dynamic data require runtime QA"
"C0099","/departments/[code]","false","Open","navigate after action","`/shipments${qs.toString() ? `?${qs.toString()}` : """"}`","{() => openShipment(soId, Number(g.shipment_id || 0))}","","frontend/src/app/(app)/departments/[code]/page.tsx","422","static source; conditional visibility and dynamic data require runtime QA"
"C0100","/departments/[code]","false","Loading... / Create shipment","navigate after action","`/shipments${qs.toString() ? `?${qs.toString()}` : """"}`","{() => { if (g.shipment_id) return; createShipmentForOrder(soId); }}","!soId || !!g.shipment_id || creatingShipmentFor === rowKey","frontend/src/app/(app)/departments/[code]/page.tsx","429","static source; conditional visibility and dynamic data require runtime QA"
"C0101","/eco-fabric-transfers","false","Remove from dispatch","local state / inspect handler","","{() => setDraft((rows) => rows.filter((r) => r.code !== row.code))}","frozen || busy","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","104","static source; conditional visibility and dynamic data require runtime QA"
"C0102","/eco-fabric-transfers","false","Form submission","save/change data","","{(event) => { event.preventDefault(); void scan(code); }}","","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","115","static source; conditional visibility and dynamic data require runtime QA"
"C0103","/eco-fabric-transfers","false","Scan","submit form","","","frozen || sending || returnRetry","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","119","static source; conditional visibility and dynamic data require runtime QA"
"C0104","/eco-fabric-transfers","false","Camera","local state / inspect handler","","{() => setCamera(true)}","busy || frozen || returnRetry","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","120","static source; conditional visibility and dynamic data require runtime QA"
"C0105","/eco-fabric-transfers","false","t(sending ? ""fabricScans.saving"" : frozen ? ""ecoTransfers.retrySend"" : ""ecoTransfers.markSent"")","download/export","","{() => void send()}","!draft.length || busy || sending","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","125","static source; conditional visibility and dynamic data require runtime QA"
"C0106","/eco-fabric-transfers","false","Retry this return","save/change data","","{async () => { if (!returnAttempt.current) return; setBusy(true); try { await completeReturn(returnAttempt.current); setFailure(""""); } catch (err) { fail(err); } finally { setBusy(false); } }}","busy","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","129","static source; conditional visibility and dynamic data require runtime QA"
"C0107","/eco-fabric-transfers","false","lastDispatch.number · PDF","download/export","","{() => void download(lastDispatch)}","","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","130","static source; conditional visibility and dynamic data require runtime QA"
"C0108","/eco-fabric-transfers","false","PDF","download/export","","{() => void download(dispatch)}","","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","139","static source; conditional visibility and dynamic data require runtime QA"
"C0109","/eco-fabric-transfers","false","Previous","filter/select/expand","","{() => setPage(page-1)}","page === 1","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","141","static source; conditional visibility and dynamic data require runtime QA"
"C0110","/eco-fabric-transfers","false","Next","filter/select/expand","","{() => setPage(page+1)}","page*30>=data.total","frontend/src/app/(app)/eco-fabric-transfers/page.tsx","141","static source; conditional visibility and dynamic data require runtime QA"
"C0111","/fabric-scans","false","Form submission","filter/select/expand","","{submit}","","frontend/src/app/(app)/fabric-scans/page.tsx","89","static source; conditional visibility and dynamic data require runtime QA"
"C0112","/fabric-scans","false","Camera","local state / inspect handler","","{() => { clearTimeout(scanTimer.current); setCode(""""); setCamera(true); }}","busy || camera","frontend/src/app/(app)/fabric-scans/page.tsx","100","static source; conditional visibility and dynamic data require runtime QA"
"C0113","/fabric-scans","false","Retry","filter/select/expand","","{() => void save(row.code, row.direction)}","busy","frontend/src/app/(app)/fabric-scans/page.tsx","110","static source; conditional visibility and dynamic data require runtime QA"
"C0114","/fabric-scans","false","Refresh","local state / inspect handler","","{() => void mutate()}","!day || isValidating","frontend/src/app/(app)/fabric-scans/page.tsx","119","static source; conditional visibility and dynamic data require runtime QA"
"C0115","/fabric-scans","false","Export CSV","download/export","","{() => data && downloadFabricReport(data, t)}","!data || isValidating || !!error","frontend/src/app/(app)/fabric-scans/page.tsx","120","static source; conditional visibility and dynamic data require runtime QA"
"C0116","/finance","false","Record Payment","local state / inspect handler","","{() => openPayment(inv)}","","frontend/src/app/(app)/finance/page.tsx","147","static source; conditional visibility and dynamic data require runtime QA"
"C0117","/finance","false","Form submission","save/change data","","{recordPayment}","","frontend/src/app/(app)/finance/page.tsx","158","static source; conditional visibility and dynamic data require runtime QA"
"C0118","/finance","false","Cancel","local state / inspect handler","","{() => setPaying(null)}","","frontend/src/app/(app)/finance/page.tsx","174","static source; conditional visibility and dynamic data require runtime QA"
"C0119","/finance","false","Save","local state / inspect handler","","","","frontend/src/app/(app)/finance/page.tsx","175","static source; conditional visibility and dynamic data require runtime QA"
"C0120","/finance/price-calculation","false","Edit","local state / inspect handler","","{() => beginFinanceEdit(request)}","isEditing || savingId === request.id","frontend/src/app/(app)/finance/price-calculation/page.tsx","178","static source; conditional visibility and dynamic data require runtime QA"
"C0121","/finance/price-calculation","false","Saving… / Save","save/change data","","{() => saveFinance(request, row)}","!isEditing || savingId === request.id","frontend/src/app/(app)/finance/price-calculation/page.tsx","179","static source; conditional visibility and dynamic data require runtime QA"
"C0122","/finance/price-calculation","false","detailsOpen ? Hide additional details : Show additional details","filter/select/expand","","{() => toggleDetails(row.id)}","","frontend/src/app/(app)/finance/price-calculation/page.tsx","197","static source; conditional visibility and dynamic data require runtime QA"
"C0123","/finished-goods","false","firstGradeText[lang].title","open page/link","/warehouse-stock?stock_kind=first_grade","","","frontend/src/app/(app)/finished-goods/page.tsx","32","static source; conditional visibility and dynamic data require runtime QA"
"C0124","/finished-goods","false","warehouseExitLabel[lang]","open page/link","/shipments?mode=warehouse_exit","","","frontend/src/app/(app)/finished-goods/page.tsx","33","static source; conditional visibility and dynamic data require runtime QA"
"C0125","/finished-goods","false","row.shipment_no","open page/link","`/shipments?so_id=${soId}&shipment_id=${row.shipment_id}`","","","frontend/src/app/(app)/finished-goods/page.tsx","83","static source; conditional visibility and dynamic data require runtime QA"
"C0126","/finished-goods","false","Not created","open page/link","`/shipments?so_id=${soId}`","","","frontend/src/app/(app)/finished-goods/page.tsx","85","static source; conditional visibility and dynamic data require runtime QA"
"C0127","/forecasting","false","Refresh","local state / inspect handler","","{() => runAction(() => Promise.all([mutate(), mutateRecommendations()]))}","busy || isValidating","frontend/src/app/(app)/forecasting/page.tsx","97","static source; conditional visibility and dynamic data require runtime QA"
"C0128","/forecasting","false","Create plan","open page/link","`/planning?model_id=${row.model_id}&color=${encodeURIComponent(row.color || """")}&size=${encodeURIComponent(row.size || """")}&qty=${row.suggested_quantity}&brand_id=${row.brand_id || """"}`","","","frontend/src/app/(app)/forecasting/page.tsx","166","static source; conditional visibility and dynamic data require runtime QA"
"C0129","/forecasting","false","Save recommendation","save/change data","","{() => saveSuggestion(row)}","busy","frontend/src/app/(app)/forecasting/page.tsx","169","static source; conditional visibility and dynamic data require runtime QA"
"C0130","/forecasting","false","Open inventory","open page/link","`/inventory?group=${[""fabric"", ""semi_finished""].includes(row.category) ? ""materials"" : ""accessories""}&q=${encodeURIComponent(row.item_sku || """")}`","","","frontend/src/app/(app)/forecasting/page.tsx","209","static source; conditional visibility and dynamic data require runtime QA"
"C0131","/forecasting","false","Save recommendation","save/change data","","{() => saveSuggestion(row)}","busy","frontend/src/app/(app)/forecasting/page.tsx","212","static source; conditional visibility and dynamic data require runtime QA"
"C0132","/forecasting","false","Accept","save/change data","","{() => setRecommendationStatus(row.id, ""accepted"")}","busy","frontend/src/app/(app)/forecasting/page.tsx","255","static source; conditional visibility and dynamic data require runtime QA"
"C0133","/forecasting","false","Dismiss","save/change data","","{() => setRecommendationStatus(row.id, ""dismissed"")}","busy","frontend/src/app/(app)/forecasting/page.tsx","256","static source; conditional visibility and dynamic data require runtime QA"
"C0134","/hr/attendance","false","Refresh","local state / inspect handler","","{() => void mutate()}","","frontend/src/app/(app)/hr/attendance/page.tsx","10","static source; conditional visibility and dynamic data require runtime QA"
"C0135","/hr/calendar","false","Add event","open/close dialog","","{() => setOpen(true)}","","frontend/src/app/(app)/hr/calendar/page.tsx","14","static source; conditional visibility and dynamic data require runtime QA"
"C0136","/hr/calendar","false","Form submission","save/change data","","{create}","","frontend/src/app/(app)/hr/calendar/page.tsx","14","static source; conditional visibility and dynamic data require runtime QA"
"C0137","/hr/calendar","false","Add event","local state / inspect handler","","","","frontend/src/app/(app)/hr/calendar/page.tsx","14","static source; conditional visibility and dynamic data require runtime QA"
"C0138","/hr/documents","false","Upload document","open/close dialog","","{() => setOpen(true)}","","frontend/src/app/(app)/hr/documents/page.tsx","14","static source; conditional visibility and dynamic data require runtime QA"
"C0139","/hr/documents","false","Download","open page/link","row.download_url","","","frontend/src/app/(app)/hr/documents/page.tsx","14","static source; conditional visibility and dynamic data require runtime QA"
"C0140","/hr/documents","false","Form submission","open/close dialog","","{upload}","","frontend/src/app/(app)/hr/documents/page.tsx","14","static source; conditional visibility and dynamic data require runtime QA"
"C0141","/hr/documents","false","""Uploading…"" / ""Upload securely""","local state / inspect handler","","","busy","frontend/src/app/(app)/hr/documents/page.tsx","14","static source; conditional visibility and dynamic data require runtime QA"
"C0142","/admin/employees | /hr/employees","false","Add employee","local state / inspect handler","","{() => open()}","","frontend/src/app/(app)/hr/employees/page.tsx","98","static source; conditional visibility and dynamic data require runtime QA"
"C0143","/admin/employees | /hr/employees","false","Open profile","local state / inspect handler","","{() => open(employee)}","","frontend/src/app/(app)/hr/employees/page.tsx","111","static source; conditional visibility and dynamic data require runtime QA"
